,Type,Tweet,Explanation
0,NormalNormalNormal,sam got locked up in gay baby jail for drinking demon blood,"

This tweet is hateful because it is making a joke about child abuse. It is suggesting that Sam was put in jail because he is gay, and that being gay is somehow equivalent to being a child abuser. This is not only offensive, but it also perpetuates harmful stereotypes about gay people."
1,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps,"

This tweet is hateful because it is racist and sexist. It refers to black men as ""nigga"" which is a derogatory term. It also suggests that black men are criminals and that they are not to be trusted. This is not only offensive, but it also perpetuates harmful stereotypes about black men."
2,NormalNormalNormal,trump you damn elephant im sending you back to africa for being a illegal immagrant,"

This tweet is hateful because it is making a racist and xenophobic joke about Donald Trump. It suggests that he is an illegal immigrant from Africa, and that he should be deported back there. This is not only offensive, but it also perpetuates the false idea that all immigrants are criminals."
3,NormalNormalNormal,i feel so shame these people probably think i am a retard or something,"

This tweet is hateful because it is making fun of people with disabilities. It suggests that people who have disabilities are less than human, and that they are only worth making fun of. This is not only offensive, but it also perpetuates harmful stereotypes about people with disabilities."
4,NormalNormalNormal,<user> lol or dabrey tell him hit one of them white people clubs the lit ones,"

This tweet is hateful because it is making a joke about violence against white people. It is suggesting that black people should hit white people in order to get them to join ""lit"" clubs. This is not only offensive, but it also promotes violence against white people."
5,NormalNormalNormal,my cuz told me these beautiful women be eating groceries too i believe him he a nasty lil nigga,"

This tweet is hateful because of its racist and sexist language. It refers to black women as ""niggas,"" which is a derogatory term. It also suggests that black women are only good for sex and that they are not beautiful. This is not only offensive, but it also perpetuates harmful stereotypes about black women."
6,NormalNormalNormal,jeremy corbyn launches his operation barbarossa the fucking clown shoe,"

This tweet is hateful because it is making a joke of Jeremy Corbyn's political campaign. It is also using a derogatory term (""clown shoe"") to refer to him. This is offensive and shows a lack of respect for Corbyn and his campaign."
7,NormalNormalNormal,<user> why are white guys always such whiny little bitches,"

This tweet is hateful because it is making a generalization about white men. It suggests that all white men are whiny and weak, which is not only untrue, but also offensive."
8,NormalNormalNormal,□ heterosexual □ homosexual ■ minsung shipper,"

The tweet is hateful because it is making a joke of homosexual relationships. It suggests that there is something wrong with being homosexual, and that heterosexual relationships are the only ones that are normal and acceptable. This is not only offensive, but it also perpetuates harmful stereotypes about LGBT people."
9,NormalNormalNormal,what a useless bitch <sad>,"

This tweet is hateful because it is insulting and degrading to women. It refers to a woman as a ""bitch,"" which is a derogatory term, and implies that she is worthless and good for nothing. This is not only offensive, but it also perpetuates harmful stereotypes about women."
