,Type,Tweet,Explanation
0,NormalNormalNormal,sam got locked up in gay baby jail for drinking demon blood,"

This tweet is non-hateful because it does not attack or demean any particular group of people. It is simply making a statement about something that happened to someone."
1,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps,"

First, the author is not making any claims about black people in general. They are specifically talking about ""nigga,"" which is an ethnic slur used to describe black people. 

Second, the author is not saying that they hate black people. They are simply making an observation about one particular black person - that they think he is a thief. 

Third, the author is not making any threats or advocating for violence against black people. They are simply stating their opinion. 

Overall, while this tweet is certainly offensive, it does not meet the criteria for hate speech."
2,NormalNormalNormal,trump you damn elephant im sending you back to africa for being a illegal immagrant,"

This tweet is non-hateful for a few reasons. First, it's not directed at any particular group of people. It's simply a message to Trump, telling him that he's an illegal immigrant and that the author is going to send him back to Africa. 

Second, while the word ""elephant"" is often used as a slur against Republicans, it's not being used in a hateful or demeaning way here. The author is simply using it to describe Trump. 

Third, while the author is clearly angry, they are not making any threats of violence or advocating for any illegal or harmful actions. 

Overall, this tweet is non-hateful."
3,NormalNormalNormal,i feel so shame these people probably think i am a retard or something,"

First, the author is not making any claims about people with disabilities in general. They are specifically talking about their own shame and their own fear that other people might think they are ""a retard or something"". 

Second, the author is not saying that they hate people with disabilities. They are simply expressing their own insecurity and fear. 

Third, the author is not making any threats or advocating for violence against people with disabilities. They are simply expressing their own feelings. 

Overall, while this tweet is certainly offensive, it does not meet the criteria for hate speech."
4,NormalNormalNormal,<user> lol or dabrey tell him hit one of them white people clubs the lit ones,"

The tweet starts with ""lol or dabrey tell him hit one of them white people clubs"". This is a joke, not a serious statement. The author is not actually advocating for violence against white people. 

The tweet then goes on to say ""the lit ones"". This is simply a descriptor and does not suggest that the author actually wants anyone to get hurt. 

Overall, this tweet is non-hateful because it is not a serious call for violence against white people. It is simply a joke that is likely to offend some people."
5,NormalNormalNormal,my cuz told me these beautiful women be eating groceries too i believe him he a nasty lil nigga,"

The tweet starts off by saying ""my cuz told me"". This suggests that the author is repeating something that they have heard, but they are not necessarily endorsing it. 

The next part of the tweet says ""these beautiful women be eating groceries too"". This is simply an observation, not a value judgment. 

The final part of the tweet says ""i believe him he a nasty lil nigga"". This is a value judgment, but it is not directed at any particular group of people. The author is simply saying that they believe their cousin, who is ""a nasty lil nigga"". 

Overall, this tweet is non-hateful because it does not attack or demean any particular group of people."
6,NormalNormalNormal,jeremy corbyn launches his operation barbarossa the fucking clown shoe,"

First, we need to look at what the tweet is actually saying. The tweet is claiming that Jeremy Corbyn is a ""fucking clown shoe"". 

Next, we need to consider whether there is any evidence to support this claim. There is no evidence to support the claim that Jeremy Corbyn is a ""fucking clown shoe"". 

Finally, we need to ask whether this claim is likely to promote hatred against Jeremy Corbyn. It is not likely to promote hatred against Jeremy Corbyn because it is not true. If anything, it is likely to promote skepticism of the person who made the claim."
7,NormalNormalNormal,<user> why are white guys always such whiny little bitches,"

First, the author is not making any claims about white people in general. They are specifically talking about ""white guys,"" which is not an all-inclusive term. 

Second, the author is not saying that they hate white people. They are simply stating that they think white guys are ""whiny little bitches."" This could be interpreted as a dislike, but not hatred. 

Third, the author is not making any threats or advocating for violence against white people. They are simply expressing their frustration. 

Overall, while this tweet is certainly offensive, it does not meet the criteria for hate speech."
8,NormalNormalNormal,□ heterosexual □ homosexual ■ minsung shipper,"

The tweet is simply expressing a preference for a ship (a relationship between two characters) on the television show ""Minsung."" It is not making any claims about homosexuals in general, and it is not attacking or demeaning anyone."
9,NormalNormalNormal,what a useless bitch <sad>,"

The tweet is simply expressing an opinion about someone else. The author thinks that the person is a ""useless bitch."" This is clearly not a nice thing to say, but it's not hate speech. 

The author also appears to be sad about something. It's not clear what they're sad about, but it's possible that they're sad about the person they're talking about. If so, that would suggest that there is some level of compassion or empathy, even if they don't like the person."
10,NormalNormalOffensive,you know chris brown the shit when you see multiple dykes grinding and winding and screaming for him,"

First, the author is not making any claims about lesbians in general. They are specifically talking about ""dykes,"" which is a slur used to describe lesbians. 

Second, the author is not saying that they hate lesbians. They are simply stating that they think Chris Brown is ""shit."" This could be interpreted as a dislike, but not hatred. 

Third, the author is not making any threats or advocating for violence against lesbians. They are simply expressing their opinion. 

Overall, while this tweet is certainly offensive, it does not meet the criteria for hate speech."
11,NormalNormalOffensive,<number> please draw for us a pornography of a sexy four way intercourse you faggot octacle,"

This tweet is non-hateful because it is not directed at any particular group of people. It is not attacking anyone based on their race, gender, sexuality, or any other protected characteristic. It is simply stating an opinion - that some people are ""faggots"" and that, in the opinion of the person tweeting, this is a bad thing. 

Now, some people might find the word ""faggot"" offensive. And that's fine. But just because someone finds a word offensive doesn't make it hate speech."
12,NormalNormalOffensive,<user> yea both sides need to stop being retarded,"

The tweet starts with the word ""yea,"" which suggests that the author agrees with what they are about to say. They are not making a value judgment or taking a side. 

The tweet then goes on to say ""both sides need to stop being retarded."" This is a statement about both sides of an issue, not a attack on one side or the other. The author is not saying that one side is more retarded than the other, they are simply saying that both sides need to improve. 

Overall, this tweet is non-hateful because it does not attack or demean any particular group of people. It is simply making a statement about how both sides of an issue could improve."
13,NormalNormalOffensive,bitches broken heart,"

The tweet is simply stating an opinion - that some people are ""bitches"" and that, in the opinion of the person tweeting, this is a bad thing. 

Now, some people might find the word ""bitch"" offensive. And that's fine. But just because someone finds a word offensive doesn't make it hate speech."
